Player,AV,Age,Pos
Dion Jordan,1,24,DE
Dion Jordan,3,28,DE
Dion Jordan,2,30,DE
Aaron Kampman,3,23,LDE
Aaron Kampman,5,24,LDE
Aaron Kampman,7,25,LDE
Aaron Kampman,9,26,LDE
Aaron Kampman,13,27,LDE
Aaron Kampman,13,28,LDE
Aaron Kampman,7,29,LDE
Aaron Kampman,3,31,RDE
Brett Keisel,1,26,DE
Brett Keisel,2,27,DE
Brett Keisel,9,28,RDE
Brett Keisel,7,29,RDE
Brett Keisel,6,30,RDE
Brett Keisel,8,31,RDE
Brett Keisel,10,32,RDE
Brett Keisel,9,33,RDE
Brett Keisel,9,34,RDE
Brett Keisel,6,35,RDE
Brett Keisel,3,36,DE
Kingsley Keke,1,23,DE
Kingsley Keke,5,24,RDE
Kingsley Keke,3,25,RDE
Chris Kelsay,2,24,DE
Chris Kelsay,6,25,LDE
Chris Kelsay,6,26,LDE
Chris Kelsay,8,27,LDE
Chris Kelsay,7,28,LDE
Chris Kelsay,7,29,LDE
Chris Kelsay,8,30,LDE
Chris Kelsay,2,33,DE
Devon Kennard,3,29,DE
Devon Kennard,2,30,DE
Ryan Kerrigan,7,23,RDE
Ryan Kerrigan,3,32,DE
Ryan Kerrigan,2,33,DE
Darius Kilgo,1,24,DE
Darius Kilgo,1,25,DE
Darius Kilgo,1,27,DE
Kenny King,1,22,DE
Mathias Kiwanuka,5,23,RDE
Mathias Kiwanuka,9,25,RDE
Mathias Kiwanuka,3,26,RDE
Mathias Kiwanuka,6,30,RDE
Mathias Kiwanuka,5,31,LDE
Paul Kruger,1,23,DE
Paul Kruger,1,24,DE
Paul Kruger,2,25,DE
Paul Kruger,5,30,LDE
Travis LaBoy,2,23,DE
Travis LaBoy,4,24,RDE
Travis LaBoy,4,25,RDE
Travis LaBoy,2,26,DE
Travis LaBoy,5,27,RDE
Travis LaBoy,2,29,DE
Austen Lane,3,23,RDE
Austen Lane,3,25,RDE
Kendall Langford,6,22,LDE
Kendall Langford,5,23,LDE
Kendall Langford,8,24,LDE
Kendall Langford,6,25,LDE
Kendall Langford,3,28,DE
Kendall Langford,7,29,LDE
Justin Lawler,1,24,DE
Manny Lawson,2,30,DE
Corey Lemonier,1,22,DE
Corey Lemonier,1,23,DE
Corey Lemonier,1,24,DE
Corey Lemonier,1,25,DE
Sean Lissemore,2,24,DE
Sean Lissemore,3,26,DE
Corey Liuget,5,21,RDE
Corey Liuget,8,22,RDE
Corey Liuget,7,23,RDE
Corey Liuget,8,24,RDE
Corey Liuget,5,25,RDE
Corey Liuget,7,26,RDE/LDE
Chris Long,6,23,RDE
Chris Long,3,24,DE
Chris Long,9,25,LDE
Chris Long,7,26,LDE
Chris Long,8,27,LDE
Chris Long,8,28,LDE
Chris Long,3,30,LDE
Chris Long,6,31,LDE
Chris Long,3,32,DE
Chris Long,2,33,DE
Erik Lorig,1,24,DE
Aaron Lynch,3,21,DE
Aaron Lynch,3,25,DE
Aaron Lynch,1,26,DE
Aaron Lynch,1,27,DE
Josh Mallard,2,23,DE
Josh Mallard,2,27,DE
Josh Mallard,1,28,DE
Stansly Maponga,1,22,DE
Stansly Maponga,1,23,DE
Sen'Derrick Marks,7,26,RDE
Cassius Marsh,2,23,DE
Cassius Marsh,3,24,DE
Cassius Marsh,3,25,DE
Cassius Marsh,3,26,DE
Cassius Marsh,2,27,DE
Cassius Marsh,1,28,DE
Kareem Martin,2,22,DE
Kareem Martin,2,23,DE
Kareem Martin,1,24,DE
Vaughn Martin,5,25,LDE
Vaughn Martin,5,26,LDE
Jonathan Massaquoi,1,24,DE
Jonathan Massaquoi,3,25,DE
Jonathan Massaquoi,2,26,DE
Ricardo Mathews,3,25,RDE
Ricardo Mathews,3,29,LDE
Robert Mathis,2,22,DE
Robert Mathis,3,23,DE
Robert Mathis,3,24,DE
Robert Mathis,7,25,LDE
Robert Mathis,6,26,LDE
Robert Mathis,7,27,DE
Robert Mathis,7,28,LDE
Robert Mathis,10,29,LDE
Robert Mathis,7,30,LDE
Cliff Matthews,1,23,DE
Cliff Matthews,1,24,DE
Aaron Maybin,1,21,DE
Aaron Maybin,1,22,DE
Aaron Maybin,2,23,DE
Aaron Maybin,1,24,DE
Ryan McBean,6,25,LDE
Turk McBride,4,23,LDE
Turk McBride,4,25,RDE
Shea McClellin,2,23,DE
Shea McClellin,4,24,LDE
Shea McClellin,4,27,DE
Stanley McClover,1,23,DE
Gerald McCoy,6,31,LDE
Bobby McCray,5,23,LDE
Bobby McCray,3,24,DE
Bobby McCray,8,25,LDE/RDE
Bobby McCray,4,26,LDE
Bobby McCray,5,27,LDE
Bobby McCray,1,28,DE
Ray McDonald,1,23,DE
Ray McDonald,4,24,LDE
Ray McDonald,3,25,DE
Ray McDonald,2,26,DE
Ray McDonald,9,27,LDE
Ray McDonald,7,28,LDE
Ray McDonald,7,29,LDE
Ray McDonald,7,30,LDE
Jerome McDougle,1,25,DE
Jerome McDougle,1,26,DE
Jerome McDougle,1,28,DE
Stacy McGee,5,27,LDE
Takkarist McKinley,2,22,DE
Takkarist McKinley,4,23,RDE
Takkarist McKinley,6,24,LDE
Takkarist McKinley,2,26,DE
David McMillan,1,25,DE
David McMillan,1,26,DE
Pernell McPhee,3,23,DE
Pernell McPhee,4,24,RDE
Pernell McPhee,2,25,DE
Pernell McPhee,2,26,DE
Pernell McPhee,1,28,DE
Pernell McPhee,3,29,DE
Pernell McPhee,1,30,DE
Pernell McPhee,1,33,DE
Steven Means,1,23,DE
Steven Means,1,26,DE
Steven Means,2,28,DE
Steven Means,5,30,LDE
Henry Melton,2,24,DE
Henry Melton,3,28,DE
Henry Melton,2,29,DE
Whitney Mercilus,3,22,DE
Whitney Mercilus,1,31,DE
Phillip Merling,3,23,DE
Phillip Merling,2,24,DE
Phillip Merling,1,26,DE
Brian Mihalik,4,25,DE
Jeremy Mincey,3,27,LDE
Jeremy Mincey,10,28,RDE
Jeremy Mincey,7,29,LDE
Jeremy Mincey,1,30,DE
Jeremy Mincey,7,31,RDE
Jeremy Mincey,3,32,RDE/LDE
Fili Moala,3,27,RDE
Fili Moala,4,28,RDE
Mike Montgomery,4,25,RDE
Damontre Moore,1,21,DE
Damontre Moore,2,22,DE
Damontre Moore,1,23,DE
Damontre Moore,1,28,DE
Eric Moore,1,24,DE
Kyle Moore,1,23,DE
Kyle Moore,3,26,RDE
Zach Moore,1,24,DE
Zach Moore,2,28,DE
Derrick Morgan,5,22,LDE
Derrick Morgan,6,23,LDE
Derrick Morgan,7,24,LDE
Quentin Moses,1,25,DE
Quentin Moses,1,26,DE
Quentin Moses,2,27,DE
Avery Moss,2,23,DE
Avery Moss,2,25,LDE
Jarvis Moss,1,24,DE
Jarvis Moss,1,27,DE
Trent Murphy,6,28,LDE
Trent Murphy,12,29,LDE
Trent Murphy,5,30,LDE
Carl Nassib,2,23,DE
Carl Nassib,5,24,LDE/RDE
Carl Nassib,5,25,LDE
Carl Nassib,3,27,LDE
Carl Nassib,1,28,DE
Haloti Ngata,7,23,RDE
Haloti Ngata,12,25,LDE
Haloti Ngata,17,26,LDE
Haloti Ngata,19,27,LDE
Haloti Ngata,13,28,LDE
Haloti Ngata,6,30,LDE
Rob Ninkovich,2,25,DE
Rob Ninkovich,9,28,LDE
Rob Ninkovich,9,29,LDE
Rob Ninkovich,10,30,LDE
Rob Ninkovich,9,31,LDE
Owamagbe Odighizuwa,1,24,DE
Antwan Odom,3,23,LDE
Antwan Odom,5,24,RDE
Antwan Odom,8,26,LDE
Antwan Odom,4,27,RDE
Jared Odrick,5,24,LDE
Jared Odrick,7,25,LDE
Jared Odrick,7,28,RDE
Alex Okafor,2,25,DE
Alex Okafor,5,26,RDE
Alex Okafor,7,27,RDE
Alex Okafor,4,28,LDE
Alex Okafor,1,29,DE
Alex Okafor,1,30,DE
Melvin Oliver,5,23,RDE
Igor Olshansky,7,22,RDE
Igor Olshansky,5,23,RDE
Igor Olshansky,6,24,RDE
Igor Olshansky,8,25,LDE
Igor Olshansky,6,26,LDE
Igor Olshansky,7,27,RDE
Igor Olshansky,5,28,RDE
Nate Orchard,2,24,DE
Calvin Pace,5,23,RDE
Calvin Pace,2,24,DE
Jeoffrey Pagan,1,21,DE
Anton Palepoi,1,24,DE
