Player,AV,Age,Pos,-9999
Jeremy Sprinkle,2,25,TE,SpriJe00
Jace Sternberger,1,24,TE,SterJa00
Craig Stevens,1,26,TE,StevCr00
Craig Stevens,1,27,TE,StevCr00
Craig Stevens,2,28,TE,StevCr00
Craig Stevens,1,31,TE,StevCr00
Jerramy Stevens,2,23,TE,StevJe00
Jerramy Stevens,1,24,TE,StevJe00
Jerramy Stevens,3,25,TE,StevJe00
Jerramy Stevens,6,26,TE,StevJe00
Jerramy Stevens,2,27,TE,StevJe00
Jerramy Stevens,2,28,TE,StevJe00
Jerramy Stevens,3,29,TE,StevJe00
Jerramy Stevens,1,30,TE,StevJe00
Luke Stocker,1,24,TE,StocLu00
Luke Stocker,1,27,TE,StocLu00
Luke Stocker,1,30,TE,StocLu00
Luke Stocker,1,32,TE,StocLu00
Quinn Sypniewski,2,25,TE,SypnQu00
Jacob Tamme,6,25,TE,TammJa00
Jacob Tamme,1,26,TE,TammJa00
Jacob Tamme,5,27,TE,TammJa00
Jacob Tamme,2,28,TE,TammJa00
Jacob Tamme,1,29,TE,TammJa00
Jacob Tamme,6,30,TE,TammJa00
Jacob Tamme,2,31,TE,TammJa00
David Thomas,2,23,TE,ThomDa02
David Thomas,1,25,TE,ThomDa02
David Thomas,4,26,TE,ThomDa02
David Thomas,2,27,TE,ThomDa02
David Thomas,1,29,TE,ThomDa02
Julius Thomas,8,25,TE,ThomJu00
Julius Thomas,5,26,TE,ThomJu00
Julius Thomas,4,27,TE,ThomJu00
Julius Thomas,2,28,TE,ThomJu00
Julius Thomas,3,29,TE,ThomJu00
Levine Toilolo,2,23,TE,ToilLe00
Levine Toilolo,3,25,TE,ToilLe00
